ID,County,Income_average,Price_Home_average,Home_Price,Address,State,Inf_rate
1,Montgomery,111812,599000,702500,8159 Tompkins st,MD,6.6
2,Montgomery,111812,599000,675500,8154 Tompkins st,MD,6.6
3,Montgomery,111812,599000,654330,8156 Tompkins st,MD,6.6
4,Montgomery,111812,599000,414800,22014 Plover st,MD,6.6
5,Loudoun,141111,725000,1505735,22566 Hillside ct,VA,6.6
6,Loudoun,141111,725000,1650000,22609 Hillside ct,VA,6.6
7,Loudon,141111,725000,1414722,24974 First Harvest ct,VA,6.6
8,Cecil,79514,339000,799275,122 Steamboat ct,MD,6.6
9,Cecil,79415,339000,511488,111 Sebastian Traditional,MD,6.6
10,Howard,124042,575000,799990,4069 Dorsey Ridge,MD,6.6
11,Howard,124042,575000,689990,3917 Cooks lane,MD,6.6
12,Howard,124042,575000,674990,4200 Bethel Overlook,MD,6.6
13,Frederick,100685,420000,925500,3099 Desmond Place,MD,6.6
14,Frederick,100685,420000,1063911,10967 Tavern ln,MD,6.6
15,Frederick,100685,420000,759200,4718 Monrovia blvd,MD,6.6
16,Frederick,100685,420000,740000,3260 Thornapple dr,MD,6.6
17,Frederick,100685,420000,1063911,6254 Laneve ct,MD,6.6
18,Frederick,100685,420000,865207,6216 Stonechat ct,MD,6.6
19,Frederick,100685,420000,480000,4319 Shirley rose ct,MD,6.6
20,Prince George,86994,410000,500000,1329 eastern ave,MD,6.6
21,Prince George,86994,410000,500000,1327 eastern ave,MD,6.6
22,Prince George,86994,410000,533745,5507 Vergo rd,MD,6.6
23,Prince George,86994,410000,622900,1304 Cougar Ln,MD,6.6
24,Prince George,86994,410000,618895,207 Bucco reef,MD,6.6
25,Prince George,86994,410000,560245,5500 Hergo rd,MD,6.6
26,Prince George,86994,410000,460000,9033 Waller tree way ,MD,6.6
27,Prince George,86994,410000,457921,110 Hawlings river rd,MD,6.6
28,Charles,103678,425000,729661,7464 Sugar Cane,MD,6.6
29,Charles,103678,425000,654056,7468 Sugar Cane,MD,6.6
30,Charles,103678,425000,521800,4460 Shakespeare circle,MD,6.6
30,Fairfax,127866,685000,1161000,8024 George Town pike,VA,6.6
31,Fairfax,127866,685000,942000,7724 Jervis St,VA,6.6
32,Fairfax,127866,685000,734780,5216 Milland st,VA,6.6
33,Fairfax,127866,685000,7880857,952 Mackall farms lane,VA,6.6
